seed,n,m,target_r,delta,method,tau,neff,lambda_hat,achieved_risk_test,slack,utility,violation,runtime_fit_ratio,runtime_crc,severity,n_cal
0,1000,500,0.1,0.1,oracle,1.0,793.597025886079,0.99,1.1535,1.1239751306125323,0.0,1.0534999999999999,2.625001798151061e-06,0.0015482159979001153,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,1.0,937.1815508740505,0.99,1.1535,1.122416354428506,0.0,1.0534999999999999,9.748997399583459e-06,0.0023127849999582395,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,2.0,830.0261670396494,0.99,1.1535,1.1237975339824584,0.0,1.0534999999999999,9.357998351333663e-06,0.0015107639992493205,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,5.0,793.597025886079,0.99,1.1535,1.1284882310531381,0.0,1.0534999999999999,8.266000804724172e-06,0.0014778209988435265,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,10.0,793.597025886079,0.99,1.1535,1.1341296066038957,0.0,1.0534999999999999,7.524999091401696e-06,0.0014627220007241704,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,20.0,793.597025886079,0.99,1.1535,1.1454123577054107,0.0,1.0534999999999999,6.513000698760152e-06,0.001443785000446951,0.5,1000
0,1000,500,0.1,0.1,oracle+clip,50.0,793.597025886079,0.99,1.1535,1.1792606110099555,0.0,1.0534999999999999,6.081998435547575e-06,0.001782987001206493,0.5,1000
0,1000,500,0.1,0.1,learned,1.0,846.0165471467195,0.99,1.1535,1.1243506268809285,0.0,1.0534999999999999,0.0019449079991318285,0.0020285190003050957,0.5,1000
0,1000,500,0.1,0.1,learned+clip,1.0,953.0950339999539,0.99,1.1535,1.1226310840565217,0.0,1.0534999999999999,0.0018578619965410326,0.0015252119992510416,0.5,1000
0,1000,500,0.1,0.1,learned+clip,2.0,863.132731700386,0.99,1.1535,1.124522929795493,0.0,1.0534999999999999,0.001895813998999074,0.001599203998921439,0.5,1000
0,1000,500,0.1,0.1,learned+clip,5.0,846.0165471467195,0.99,1.1535,1.1289155106063236,0.0,1.0534999999999999,0.0018042580013570841,0.0020065369972144254,0.5,1000
0,1000,500,0.1,0.1,learned+clip,10.0,846.0165471467195,0.99,1.1535,1.134621615263067,0.0,1.0534999999999999,0.0018042379997496027,0.0014749949987162836,0.5,1000
0,1000,500,0.1,0.1,learned+clip,20.0,846.0165471467195,0.99,1.1535,1.1460338245765544,0.0,1.0534999999999999,0.0019847250005113892,0.0015473150015168358,0.5,1000
0,1000,500,0.1,0.1,learned+clip,50.0,846.0165471467195,0.99,1.1535,1.1802704525170165,0.0,1.0534999999999999,0.0018172730015066918,0.0020884350014966913,0.5,1000
0,1000,500,0.1,0.1,naive-learned-no-split,1.0,839.045328376885,0.99,1.1535,1.1248861010584092,0.0,1.0534999999999999,0.0018521809979574755,0.0017997089998971205,0.5,1000
0,2000,500,0.1,0.1,uniform,1.0,2000.0,0.99,1.1735,1.0900063483953248,0.0,1.0735,1.0228999599348754e-05,0.00280460100111668,0.5,2000
